order,family_name,family,common_name,birdlife,type,scientific_name
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Pied Goshawk,Accipiter albogularis,scientific_name,Accipiter albogularis
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Shikra,Accipiter badius,scientific_name,Accipiter badius
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Bicolored Hawk,Accipiter bicolor,scientific_name,Accipiter bicolor
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Bicolored Hawk,Accipiter bicolor,synonym_1,Accipiter chilensis
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",New Britain Sparrowhawk,Accipiter brachyurus,scientific_name,Accipiter brachyurus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Sharp-shinned Hawk,Accipiter striatus,synonym_1,Accipiter chionogaster
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Sharp-shinned Hawk,Accipiter striatus,synonym_2,Accipiter erythronemius
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Sharp-shinned Hawk,Accipiter striatus,synonym_3,Accipiter ventralis
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Levant Sparrowhawk,Accipiter brevipes,scientific_name,Accipiter brevipes
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Nicobar Sparrowhawk,Accipiter butleri,scientific_name,Accipiter butleri
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Chestnut-flanked Sparrowhawk,Accipiter castanilius,scientific_name,Accipiter castanilius
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Collared Sparrowhawk,Accipiter cirrocephalus,scientific_name,Accipiter cirrocephalus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Collared Sparrowhawk,Accipiter cirrocephalus,synonym_1,Accipiter cirrhocephalus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Semi-collared Hawk,Accipiter collaris,scientific_name,Accipiter collaris
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Cooper's Hawk,Accipiter cooperii,scientific_name,Accipiter cooperii
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Rufous-necked Sparrowhawk,Accipiter erythrauchen,scientific_name,Accipiter erythrauchen
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Red-legged Sparrowhawk,Accipiter erythropus,scientific_name,Accipiter erythropus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Brown Goshawk,Accipiter fasciatus,scientific_name,Accipiter fasciatus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Frances's Sparrowhawk,Accipiter francesiae,scientific_name,Accipiter francesiae
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Frances's Sparrowhawk,Accipiter francesiae,synonym_1,Accipiter francesii
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Northern Goshawk,Accipiter gentilis,scientific_name,Accipiter gentilis
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Sulawesi Goshawk,Accipiter griseiceps,scientific_name,Accipiter griseiceps
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Japanese Sparrowhawk,Accipiter gularis,scientific_name,Accipiter gularis
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Gundlach's Hawk,Accipiter gundlachi,scientific_name,Accipiter gundlachi
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",White-bellied Goshawk,Accipiter haplochrous,scientific_name,Accipiter haplochrous
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Moluccan Goshawk,Accipiter henicogrammus,scientific_name,Accipiter henicogrammus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Henst's Goshawk,Accipiter henstii,scientific_name,Accipiter henstii
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Variable Goshawk,Accipiter hiogaster,scientific_name,Accipiter hiogaster
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Imitator Goshawk,Accipiter imitator,scientific_name,Accipiter imitator
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Slaty-backed Goshawk,Accipiter luteoschistaceus,scientific_name,Accipiter luteoschistaceus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Madagascar Sparrowhawk,Accipiter madagascariensis,scientific_name,Accipiter madagascariensis
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Black-mantled Goshawk,Accipiter melanochlamys,scientific_name,Accipiter melanochlamys
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Black Sparrowhawk,Accipiter melanoleucus,scientific_name,Accipiter melanoleucus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Meyer's Goshawk,Accipiter meyerianus,scientific_name,Accipiter meyerianus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Little Sparrowhawk,Accipiter minullus,scientific_name,Accipiter minullus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Dwarf Sparrowhawk,Accipiter nanus,scientific_name,Accipiter nanus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Eurasian Sparrowhawk,Accipiter nisus,scientific_name,Accipiter nisus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Grey Goshawk,Accipiter novaehollandiae,scientific_name,Accipiter novaehollandiae
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Ovambo Sparrowhawk,Accipiter ovampensis,scientific_name,Accipiter ovampensis
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Grey-headed Goshawk,Accipiter poliocephalus,scientific_name,Accipiter poliocephalus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Grey-bellied Goshawk,Accipiter poliogaster,scientific_name,Accipiter poliogaster
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",New Britain Goshawk,Accipiter princeps,scientific_name,Accipiter princeps
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Vinous-breasted Sparrowhawk,Accipiter rhodogaster,scientific_name,Accipiter rhodogaster
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Fiji Goshawk,Accipiter rufitorques,scientific_name,Accipiter rufitorques
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Rufous-breasted Sparrowhawk,Accipiter rufiventris,scientific_name,Accipiter rufiventris
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Chinese Sparrowhawk,Accipiter soloensis,scientific_name,Accipiter soloensis
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Sharp-shinned Hawk,Accipiter striatus,scientific_name,Accipiter striatus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Tiny Hawk,Accipiter superciliosus,scientific_name,Accipiter superciliosus
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",Lesser Sundas Goshawk,Accipiter sylvestris,scientific_name,Accipiter sylvestris
ACCIPITRIFORMES,Accipitridae,"Hawks, eagles",African Goshawk,Accipiter tachiro,scientific_name,Accipiter tachiro
