"scientific_name","TipLabel","English","Order","status","migration","gen_length","range","tp","tl","habitat1","colony","ps","min_dist","colour_elab","colour_div","ED_score","mean_mass","logMass","logRange","citations","source"
"Abeillia abeillei","Abeillia_abeillei","Emerald-chinned Hummingbird","APODIFORMES","LC","Not a Migrant",4.2,144605.659279575,"Diurnal","Herbivore","Forest","Not colonial",-0.136288799,80.17404888,31.82821155,65,4.588497,2.7,0.431363764158987,5.16018528981741,1,1
"Abroscopus albogularis","Abroscopus_albogularis","Rufous-faced Warbler","PASSERIFORMES","LC","Not a Migrant",3.6,1704652.1497186,"Diurnal","Carnivore","Forest","Not colonial",-0.042732993,0,29.76949521,48.5,8.866792,NA,NA,6.23163577050138,1,1
"Abroscopus schisticeps","Abroscopus_schisticeps","Black-faced Warbler","PASSERIFORMES","LC","Not a Migrant",3.6,909114.504434146,"Diurnal","Carnivore","Forest","Not colonial",-0.115481866,93.1910803,29.80075136,46.5,10.985408,4.7,0.672097857935718,5.9586185867556,0,0
"Abroscopus superciliaris","Abroscopus_superciliaris","Yellow-bellied Warbler","PASSERIFORMES","LC","Altitudinal Migrant",3.6,2493438.00510992,"Diurnal","Carnivore","Forest","Not colonial",-0.043618322,0,33.68925136,39.33333333,11.002407,6.5,0.812913356642856,6.39679857473069,2,2
"Aburria aburri","Aburria_aburri","Wattled Guan","GALLIFORMES","NT","Not a Migrant",5.7,139288.697573026,"Diurnal","Herbivore","Forest","Not colonial",-0.066542196,39.08363069,32.31821885,68,3.268263,1407.5,3.14844840352338,5.1439158775093,0,0
"Acanthagenys rufogularis","Acanthagenys_rufogularis","Spiny-cheeked Honeyeater","PASSERIFORMES","LC","Not a Migrant",6.8,5976504.64030494,"Diurnal","Omnivore","Shrubland","Not colonial",1.109268882,0,27.92133361,43,9.231506,47.8,1.67942789661212,6.77644726103739,1,1
"Acanthidops bairdii","Acanthidops_bairdii","Peg-billed Finch","PASSERIFORMES","LC","Not a Migrant",3.8,4743.30722143957,"Diurnal","Omnivore","Forest","Not colonial",0.156391978,306.5489004,16.22030853,29,6.636711,16,1.20411998265592,3.67608125458122,3,2
"Acanthisitta chloris","Acanthisitta_chloris","Rifleman","PASSERIFORMES","LC","Not a Migrant",3.5,203378.478543668,"Diurnal","Carnivore","Forest","Not colonial",1.323162773,0,33.221315095,43.5,35.034109,6.95,0.841984804590114,5.30830499409194,10,6
"Acanthiza apicalis","Acanthiza_apicalis","Inland Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,4124535.55417867,"Diurnal","Carnivore","Forest","Not colonial",1.109268882,0,26.71135738,32,8.153316,7.5,0.8750612633917,6.6153750516463,0,0
"Acanthiza chrysorrhoa","Acanthiza_chrysorrhoa","Yellow-rumped Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,4606148.12150202,"Diurnal","Carnivore","Artificial/Terrestrial","Not colonial",1.109268882,0,33.31136409,37,10.782947,9.33333333333333,0.970036776622557,6.66333789961099,0,0
"Acanthiza ewingii","Acanthiza_ewingii","Tasmanian Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,68050.5090806358,"Diurnal","Carnivore","Forest","Not colonial",1.109268882,219.1184657,24.21828987,32,7.426532,6.9,0.838849090737255,4.83283137847519,2,1
"Acanthiza inornata","Acanthiza_inornata","Western Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,137462.741302409,"Diurnal","Carnivore","Savanna","Not colonial",1.109268882,0,26.24401097,23,6.934501,7,0.845098040014257,5.13818500042448,1,1
"Acanthiza iredalei","Acanthiza_iredalei","Slender-billed Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,987474.090588275,"Diurnal","Carnivore","Shrubland","Not colonial",1.109268882,0,28.81283399,20,6.228396,6.05,0.781755374652469,5.99452570940011,0,0
"Acanthiza katherina","Acanthiza_katherina","Mountain Thornbill","PASSERIFORMES","LC","Not a Migrant",5.7,58195.3456375781,"Diurnal","Carnivore","Forest","Not colonial",1.109268882,758.8941951,27.71417841,29,6.035199,7.2,0.857332496431269,4.76488825192228,1,1
