"scientific_name","status","migration","tp","tl","habitat1","colony","ps","min_dist","colour_elab","colour_div","ED_score","logMass","logRange","Order","source"
"Abeillia_abeillei","LC","Not a Migrant","Diurnal","Herbivore","Forest","Not colonial",-0.136288799,80.17404888,31.82821155,65,4.588497,0.431363764158987,5.16018528981741,"APODIFORMES",1
"Abroscopus_albogularis","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.042732993,0,29.76949521,48.5,8.866792,0.921681852756633,6.23163577050138,"PASSERIFORMES",1
"Abroscopus_schisticeps","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.115481866,93.1910803,29.80075136,46.5,10.985408,0.672097857935718,5.9586185867556,"PASSERIFORMES",0
"Abroscopus_superciliaris","LC","Altitudinal Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.043618322,0,33.68925136,39.33333333,11.002407,0.812913356642856,6.39679857473069,"PASSERIFORMES",2
"Aburria_aburri","NT","Not a Migrant","Diurnal","Herbivore","Forest","Not colonial",-0.066542196,39.08363069,32.31821885,68,3.268263,3.14844840352338,5.1439158775093,"GALLIFORMES",0
"Acanthagenys_rufogularis","LC","Not a Migrant","Diurnal","Omnivore","Shrubland","Not colonial",1.109268882,0,27.92133361,43,9.231506,1.67942789661212,6.77644726103739,"PASSERIFORMES",1
"Acanthidops_bairdii","LC","Not a Migrant","Diurnal","Omnivore","Forest","Not colonial",0.156391978,306.5489004,16.22030853,29,6.636711,1.20411998265592,3.67608125458122,"PASSERIFORMES",2
"Acanthisitta_chloris","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",1.323162773,0,33.221315095,43.5,35.034109,0.841984804590114,5.30830499409194,"PASSERIFORMES",6
"Acanthiza_apicalis","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",1.109268882,0,26.71135738,32,8.153316,0.8750612633917,6.6153750516463,"PASSERIFORMES",0
"Acanthiza_chrysorrhoa","LC","Not a Migrant","Diurnal","Carnivore","Artificial","Not colonial",1.109268882,0,33.31136409,37,10.782947,0.970036776622557,6.66333789961099,"PASSERIFORMES",0
"Acanthiza_ewingii","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",1.109268882,219.1184657,24.21828987,32,7.426532,0.838849090737255,4.83283137847519,"PASSERIFORMES",1
"Acanthiza_inornata","LC","Not a Migrant","Diurnal","Carnivore","Open vegetation","Not colonial",1.109268882,0,26.24401097,23,6.934501,0.845098040014257,5.13818500042448,"PASSERIFORMES",1
"Acanthiza_iredalei","LC","Not a Migrant","Diurnal","Carnivore","Shrubland","Not colonial",1.109268882,0,28.81283399,20,6.228396,0.781755374652469,5.99452570940011,"PASSERIFORMES",0
"Acanthiza_katherina","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",1.109268882,758.8941951,27.71417841,29,6.035199,0.857332496431269,4.76488825192228,"PASSERIFORMES",1
"Acanthiza_lineata","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",1.109268882,0,24.4553824,26,11.623807,0.836745965649491,6.01862452113653,"PASSERIFORMES",0
"Acanthiza_murina","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.485922957,52.4022123,24.0188346,28,8.64186,0.924279286061882,4.91982194268724,"PASSERIFORMES",0
"Acanthiza_nana","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",1.109268882,0,40.02608937,42,8.645009,0.792391689498254,6.30567899444538,"PASSERIFORMES",0
"Acanthiza_pusilla","LC","Not a Migrant","Diurnal","Carnivore","Artificial","Not colonial",1.109268882,0,24.41168036,34,6.035199,0.886490725172482,6.05387998261126,"PASSERIFORMES",1
"Acanthiza_reguloides","LC","Not a Migrant","Diurnal","Carnivore","Open vegetation","Not colonial",1.109268882,0,31.24511055,29,6.936969,0.886490725172482,6.26564946086926,"PASSERIFORMES",0
"Acanthiza_robustirostris","LC","Not a Migrant","Diurnal","Carnivore","Open vegetation","Not colonial",1.109268882,287.9134241,31.13063179,31,6.228396,0.785329835010767,6.31425647970648,"PASSERIFORMES",0
"Acanthiza_uropygialis","LC","Not a Migrant","Diurnal","Carnivore","Open vegetation","Not colonial",1.109268882,0,32.47028136,28,8.080169,0.806179973983887,6.68026091127921,"PASSERIFORMES",0
"Acanthorhynchus_superciliosus","LC","Not a Migrant","Diurnal","Herbivore","Open vegetation","Not colonial",1.109268882,0,24.1026337,32,16.80393,0.989004615698537,5.26075059059223,"PASSERIFORMES",2
"Acanthorhynchus_tenuirostris","LC","Not a Migrant","Diurnal","Omnivore","Forest","Not colonial",1.109268882,0,28.50572342,36,16.80393,1.02118929906994,5.88284247455721,"PASSERIFORMES",2
"Acanthornis_magna","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",1.109268882,328.577429,23.5206555,25,15.646331,1.00860017176192,4.64507073964927,"PASSERIFORMES",3
"Accipiter_albogularis","LC","Not a Migrant","Diurnal","Carnivore","Artificial","Not colonial",0.074439461,830.0489007,29.23922343,43.5,7.93344,2.39880773020326,4.57358174809531,"ACCIPITRIFORMES",0
"Accipiter_badius","LC","Full Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.011122652,0,22.90443122,26,8.15855,2.11892575282578,7.35018129567187,"ACCIPITRIFORMES",5
"Accipiter_bicolor","LC","Full Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.017493946,0,21.95429423,48,7.369053,2.47856649559384,7.15562675683182,"ACCIPITRIFORMES",0
"Accipiter_brachyurus","VU","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.459885342,404.8167106,24.5132183351226,52.8833708993063,8.098795,2.15228834438306,4.28810870374081,"ACCIPITRIFORMES",0
"Accipiter_brevipes","LC","Full Migrant","Diurnal","Carnivore","Shrubland","Not colonial",-0.044265293,0,22.340686255,37,8.182978,2.27300127206374,6.46770762292497,"ACCIPITRIFORMES",7
"Accipiter_butleri","VU","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-1.078051578,445.7467797,29.83842262,47,8.060446,2.50550495388499,2.51565755350565,"ACCIPITRIFORMES",0
"Accipiter_castanilius","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.188715153,0,24.57971544,58,8.254363,2.20207944100739,6.32146053835016,"ACCIPITRIFORMES",0
"Accipiter_chilensis","LC","Full Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.017493946,0,21.95429423,48,8.013433,2.56584781867352,7.15562675683182,"ACCIPITRIFORMES",0
"Accipiter_chionogaster","LC","Full Migrant","Diurnal","Carnivore","Shrubland","Not colonial",0.012257664,0,25.80880258,58.5,7.895811,2.13265985032772,7.2141965474552,"ACCIPITRIFORMES",6
"Accipiter_cirrocephalus","LC","Not a Migrant","Diurnal","Carnivore","Open vegetation","Not colonial",0.275074882,0,24.01338306,53,6.990258,2.23552844690755,6.7394651167912,"ACCIPITRIFORMES",0
"Accipiter_collaris","NT","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.256934607,12.59466383,23.46769721,54.5,8.024357,2.48216993724863,5.40358929999076,"ACCIPITRIFORMES",0
"Accipiter_cooperii","LC","Full Migrant","Diurnal","Carnivore","Forest","Not colonial",0.036298195,0,23.65998872,61,7.421946,2.64246452024212,6.92385732633801,"ACCIPITRIFORMES",5
"Accipiter_erythrauchen","NT","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-1.04490994,243.8072118,28.13900901,50.33333333,8.056856,2.19312459835446,4.68259918604439,"ACCIPITRIFORMES",0
"Accipiter_erythronemius","LC","Full Migrant","Diurnal","Carnivore","Shrubland","Not colonial",0.012257664,0,25.80880258,58.5,5.897535,2.09691001300806,7.2141965474552,"ACCIPITRIFORMES",6
"Accipiter_erythropus","LC","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.059633834,0,26.72368747,47,7.985206,2.06201759885711,6.59159915496464,"ACCIPITRIFORMES",2
"Accipiter_fasciatus","LC","Not a Migrant","Diurnal","Carnivore","Artificial","Not colonial",0.122032875,0,22.30754929,53.83333333,8.531209,2.58006922272504,6.91276404741764,"ACCIPITRIFORMES",3
"Accipiter_francesiae","LC","Not a Migrant","Diurnal","Carnivore","Artificial","Not colonial",-0.192672215,607.498981,24.9187977,43,7.955105,2.14144977340047,5.71555911535116,"ACCIPITRIFORMES",1
"Accipiter_gentilis","LC","Full Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.000983199,0,27.09803927,38.8,9.50842,2.95504601472293,7.50206055332183,"ACCIPITRIFORMES",11
